state,expenditure,year,raw,inf_adj,inf_adj_perchild
Idaho,HeadStartPriv,1997,11520.6163019538,16426.5703125,0.0432292968034744
Illinois,HeadStartPriv,1997,140981.056784928,201016.609375,0.059280164539814
Indiana,HeadStartPriv,1997,49114.8406979442,70029.96875,0.0430059395730495
Iowa,HeadStartPriv,1997,26316.0495371819,37522.5078125,0.0484158284962177
Kansas,HeadStartPriv,1997,19804.6430066228,28238.27734375,0.0380039662122726
Kentucky,HeadStartPriv,1997,40953.122209847,58392.65234375,0.0550642386078835
Louisiana,HeadStartPriv,1997,64522.7103760242,91999.140625,0.0701622068881989
Maine,HeadStartPriv,1997,15536,22151.869140625,0.0687393322587013
Maryland,HeadStartPriv,1997,38254.7858319283,54545.25,0.0394083186984062
Massachusetts,HeadStartPriv,1997,63419.6403497458,90426.3359375,0.0581203997135162
Michigan,HeadStartPriv,1997,97135.4675599337,138499.75,0.0508657470345497
Minnesota,HeadStartPriv,1997,42007.7002944946,59896.3125,0.0449284128844738
Mississippi,HeadStartPriv,1997,103523,147607.359375,0.179772853851318
Missouri,HeadStartPriv,1997,58794.4807087183,83831.59375,0.0559534169733524
Montana,HeadStartPriv,1997,10732.3360443115,15302.607421875,0.0620390214025974
Nebraska,HeadStartPriv,1997,16154.7624598742,23034.126953125,0.0484576001763344
Nevada,HeadStartPriv,1997,9942,14175.7138671875,0.0305010825395584
New Hampshire,HeadStartPriv,1997,7430,10594.0009765625,0.0332799330353737
New Jersey,HeadStartPriv,1997,69738.3760303259,99435.8515625,0.0467450991272926
New Mexico,HeadStartPriv,1997,19646.1946595907,28012.35546875,0.0517231076955795
New York,HeadStartPriv,1997,254119.501208782,362334.0625,0.0737305358052254
North Carolina,HeadStartPriv,1997,69994.3924146295,99800.890625,0.0507949702441692
North Dakota,HeadStartPriv,1997,3688.15993210673,5258.73046875,0.0295480769127607
Ohio,HeadStartPriv,1997,134497.014790297,191771.390625,0.0627367943525314
Oklahoma,HeadStartPriv,1997,45865,65396.2109375,0.069252610206604
Oregon,HeadStartPriv,1997,31977.7561148405,45595.203125,0.0520079396665096
Pennsylvania,HeadStartPriv,1997,108983.845998704,155393.65625,0.0500148385763168
Rhode Island,HeadStartPriv,1997,13135,18728.42578125,0.0729939639568329
South Carolina,HeadStartPriv,1997,51714,73735.953125,0.0696297511458397
South Dakota,HeadStartPriv,1997,9127.34787142277,13014.1494140625,0.0596787706017494
Tennessee,HeadStartPriv,1997,57065.7685142756,81366.7265625,0.0566528737545013
Texas,HeadStartPriv,1997,200817.088609457,286333.28125,0.048120766878128
Utah,HeadStartPriv,1997,14503.1295111179,20679.16015625,0.0277593862265348
Vermont,HeadStartPriv,1997,7591.89435124397,10824.8359375,0.0683692544698715
Virginia,HeadStartPriv,1997,40010.7163320184,57048.9296875,0.0321683883666992
Washington,HeadStartPriv,1997,36218.7570850849,51642.19921875,0.0332874171435833
West Virginia,HeadStartPriv,1997,28699.5484495163,40921,0.0918415188789368
Wisconsin,HeadStartPriv,1997,44772.9544073343,63839.125,0.0444319248199463
Wyoming,HeadStartPriv,1997,5353.21671617031,7632.83740234375,0.0535814426839352
Alabama,TANFbasic,1997,63817.907,90994.203125,0.076641671359539
Alaska,TANFbasic,1997,98731.126,140774.90625,0.715018093585968
Arizona,TANFbasic,1997,187168.812,266873,0.204764142632484
Arkansas,TANFbasic,1997,48154.142,68660.1640625,0.0955726578831673
California,TANFbasic,1997,5036460.813,7181193.5,0.75127100944519
Colorado,TANFbasic,1997,108467.171,154656.96875,0.142550572752953
Connecticut,TANFbasic,1997,320942.776,457613.4375,0.535383224487305
Delaware,TANFbasic,1997,31471.313,44873.09765625,0.227896749973297
District of Columbia,TANFbasic,1997,105358.788,150224.90625,1.18229603767395
Florida,TANFbasic,1997,543984.492,775635.5,0.210696995258331
Georgia,TANFbasic,1997,315997.598,450562.40625,0.210077375173569
Hawaii,TANFbasic,1997,163295.423,232833.34375,0.717730939388275
Idaho,TANFbasic,1997,20080.416,28631.486328125,0.0753485932946205
Illinois,TANFbasic,1997,706688.176,1007625.125,0.297150492668152
Indiana,TANFbasic,1997,125771.059,179329.5625,0.110127657651901
Iowa,TANFbasic,1997,120016.571,171124.578125,0.220804482698441
Kansas,TANFbasic,1997,112149.486,159907.359375,0.215208381414413
Kentucky,TANFbasic,1997,181040.733,258135.34375,0.243421494960785
Louisiana,TANFbasic,1997,117270.89,167209.671875,0.127520754933357
Maine,TANFbasic,1997,89726.834,127936.21875,0.396998137235641
Maryland,TANFbasic,1997,232407.059,331375.5625,0.239415049552917
Massachusetts,TANFbasic,1997,472115.572,673161.875,0.432666420936584
Michigan,TANFbasic,1997,753508.856,1074384,0.394580811262131
