state,expenditure,year,raw,inf_adj,inf_adj_perchild
Arizona,HeadStartPriv,1997,40668.16778,57986.35156,0.044491295
Arkansas,HeadStartPriv,1997,34294.76277,48898.88672,0.068065621
California,HeadStartPriv,1997,308907.1912,440452.625,0.046078593
Colorado,HeadStartPriv,1997,289154.2059,412288,0.380014509
Connecticut,HeadStartPriv,1997,26573.54723,37889.66016,0.044328872
Delaware,HeadStartPriv,1997,8314,11854.44434,0.060205098
District of Columbia,HeadStartPriv,1997,7185.239615,10245.01074,0.080630012
Florida,HeadStartPriv,1997,94409.9696,134613.625,0.036567032
Georgia,HeadStartPriv,1997,90012.83227,128344.0078,0.059841149
Hawaii,HeadStartPriv,1997,12632,18011.22656,0.055521317
Idaho,HeadStartPriv,1997,11520.6163,16426.57031,0.043229297
Illinois,HeadStartPriv,1997,140981.0568,201016.6094,0.059280165
Indiana,HeadStartPriv,1997,49114.8407,70029.96875,0.04300594
Iowa,HeadStartPriv,1997,26316.04954,37522.50781,0.048415828
Kansas,HeadStartPriv,1997,19804.64301,28238.27734,0.038003966
Kentucky,HeadStartPriv,1997,40953.12221,58392.65234,0.055064239
Louisiana,HeadStartPriv,1997,64522.71038,91999.14063,0.070162207
Maine,HeadStartPriv,1997,15536,22151.86914,0.068739332
Maryland,HeadStartPriv,1997,38254.78583,54545.25,0.039408319
Massachusetts,HeadStartPriv,1997,63419.64035,90426.33594,0.0581204
Michigan,HeadStartPriv,1997,97135.46756,138499.75,0.050865747
Minnesota,HeadStartPriv,1997,42007.70029,59896.3125,0.044928413
Mississippi,HeadStartPriv,1997,103523,147607.3594,0.179772854
Missouri,HeadStartPriv,1997,58794.48071,83831.59375,0.055953417
Montana,HeadStartPriv,1997,10732.33604,15302.60742,0.062039021
Nebraska,HeadStartPriv,1997,16154.76246,23034.12695,0.0484576
Nevada,HeadStartPriv,1997,9942,14175.71387,0.030501083
New Hampshire,HeadStartPriv,1997,7430,10594.00098,0.033279933
New Jersey,HeadStartPriv,1997,69738.37603,99435.85156,0.046745099
New Mexico,HeadStartPriv,1997,19646.19466,28012.35547,0.051723108
New York,HeadStartPriv,1997,254119.5012,362334.0625,0.073730536
North Carolina,HeadStartPriv,1997,69994.39241,99800.89063,0.05079497
North Dakota,HeadStartPriv,1997,3688.159932,5258.730469,0.029548077
Ohio,HeadStartPriv,1997,134497.0148,191771.3906,0.062736794
Oklahoma,HeadStartPriv,1997,45865,65396.21094,0.06925261
Oregon,HeadStartPriv,1997,31977.75611,45595.20313,0.05200794
Pennsylvania,HeadStartPriv,1997,108983.846,155393.6563,0.050014839
Rhode Island,HeadStartPriv,1997,13135,18728.42578,0.072993964
South Carolina,HeadStartPriv,1997,51714,73735.95313,0.069629751
South Dakota,HeadStartPriv,1997,9127.347871,13014.14941,0.059678771
Tennessee,HeadStartPriv,1997,57065.76851,81366.72656,0.056652874
Texas,HeadStartPriv,1997,200817.0886,286333.2813,0.048120767
Utah,HeadStartPriv,1997,14503.12951,20679.16016,0.027759386
Vermont,HeadStartPriv,1997,7591.894351,10824.83594,0.068369254
Virginia,HeadStartPriv,1997,40010.71633,57048.92969,0.032168388
Washington,HeadStartPriv,1997,36218.75709,51642.19922,0.033287417
West Virginia,HeadStartPriv,1997,28699.54845,40921,0.091841519
Wisconsin,HeadStartPriv,1997,44772.95441,63839.125,0.044431925
Wyoming,HeadStartPriv,1997,5353.216716,7632.837402,0.053581443
Alabama,TANFbasic,1997,63817.907,90994.20313,0.076641671
Alaska,TANFbasic,1997,98731.126,140774.9063,0.715018094
Arizona,TANFbasic,1997,187168.812,266873,0.204764143
Arkansas,TANFbasic,1997,48154.142,68660.16406,0.095572658
California,TANFbasic,1997,5036460.813,7181193.5,0.751271009
Colorado,TANFbasic,1997,108467.171,154656.9688,0.142550573
Connecticut,TANFbasic,1997,320942.776,457613.4375,0.535383224
Delaware,TANFbasic,1997,31471.313,44873.09766,0.22789675
District of Columbia,TANFbasic,1997,105358.788,150224.9063,1.182296038
Florida,TANFbasic,1997,543984.492,775635.5,0.210696995
Georgia,TANFbasic,1997,315997.598,450562.4063,0.210077375
Hawaii,TANFbasic,1997,163295.423,232833.3438,0.717730939
Idaho,TANFbasic,1997,20080.416,28631.48633,0.075348593
Illinois,TANFbasic,1997,706688.176,1007625.125,0.297150493
Indiana,TANFbasic,1997,125771.059,179329.5625,0.110127658
Iowa,TANFbasic,1997,120016.571,171124.5781,0.220804483
Kansas,TANFbasic,1997,112149.486,159907.3594,0.215208381
Kentucky,TANFbasic,1997,181040.733,258135.3438,0.243421495
Louisiana,TANFbasic,1997,117270.89,167209.6719,0.127520755
Maine,TANFbasic,1997,89726.834,127936.2188,0.396998137
Maryland,TANFbasic,1997,232407.059,331375.5625,0.23941505
Massachusetts,TANFbasic,1997,472115.572,673161.875,0.432666421
Michigan,TANFbasic,1997,753508.856,1074384,0.394580811
Minnesota,TANFbasic,1997,227962.291,325038.0313,0.243812054
Mississippi,TANFbasic,1997,60023.888,85584.53906,0.104234487
Missouri,TANFbasic,1997,218708.206,311843.1875,0.208139822
Montana,TANFbasic,1997,42503.869,60603.76953,0.245696604
Nebraska,TANFbasic,1997,48818.949,69608.07031,0.146436632
Nevada,TANFbasic,1997,40248.916,57388.56641,0.123479739
New Hampshire,TANFbasic,1997,43663.523,62257.25391,0.195574567
New Jersey,TANFbasic,1997,425775.695,607088.5625,0.285394222
New Mexico,TANFbasic,1997,131010.621,186800.3438,0.34491545
New York,TANFbasic,1997,2656535.582,3787798,0.770770431
North Carolina,TANFbasic,1997,269843.544,384754.0625,0.195825621
North Dakota,TANFbasic,1997,19042.344,27151.35938,0.152559727
Ohio,TANFbasic,1997,697067.991,993908.3125,0.325150818
Oklahoma,TANFbasic,1997,94477.784,134710.3281,0.142654166
Oregon,TANFbasic,1997,174944.207,249442.6719,0.284525514
Pennsylvania,TANFbasic,1997,702077.847,1001051.563,0.322197407
Rhode Island,TANFbasic,1997,118222.326,168566.2656,0.656986296
South Carolina,TANFbasic,1997,71506.296,101956.625,0.096278869
South Dakota,TANFbasic,1997,17798.786,25378.24414,0.116376594
Tennessee,TANFbasic,1997,130177.762,185612.8281,0.129235879
