state,variable,year,raw
Missouri,PK12ed,2008,8054325
Montana,PK12ed,2008,1333960
Nebraska,PK12ed,2008,2635802
Nevada,PK12ed,2008,3454513
New Hampshire,PK12ed,2008,2274467
New Jersey,PK12ed,2008,20838830
New Mexico,PK12ed,2008,2936645
New York,PK12ed,2008,45925832
North Carolina,PK12ed,2008,11364846
North Dakota,PK12ed,2008,887545
Ohio,PK12ed,2008,17615260
Oklahoma,PK12ed,2008,4816502
Oregon,PK12ed,2008,5306565
Pennsylvania,PK12ed,2008,20705512
Rhode Island,PK12ed,2008,2056177
South Carolina,PK12ed,2008,6486766
South Dakota,PK12ed,2008,978141
Tennessee,PK12ed,2008,7187217
Texas,PK12ed,2008,36273136
Utah,PK12ed,2008,3222324
Vermont,PK12ed,2008,1274880
Virginia,PK12ed,2008,13062210
Washington,PK12ed,2008,9086509
West Virginia,PK12ed,2008,2529073
Wisconsin,PK12ed,2008,9127968
Wyoming,PK12ed,2008,1178043
Alabama,PK12ed,2009,6629154
Alaska,PK12ed,2009,2077152
Arizona,PK12ed,2009,7536710
Arkansas,PK12ed,2009,4189066
California,PK12ed,2009,59255344
Colorado,PK12ed,2009,6763740
Connecticut,PK12ed,2009,7760351
Delaware,PK12ed,2009,1436644
District of Columbia,PK12ed,2009,1745669
Florida,PK12ed,2009,22397560
Georgia,PK12ed,2009,15388033
Hawaii,PK12ed,2009,2142996
Idaho,PK12ed,2009,1863624
Illinois,PK12ed,2009,21331942
Indiana,PK12ed,2009,8635495
Iowa,PK12ed,2009,4581267
Kansas,PK12ed,2009,4347644
Kentucky,PK12ed,2009,5444526
Louisiana,PK12ed,2009,7096159
Maine,PK12ed,2009,2204484
Maryland,PK12ed,2009,10427128
Massachusetts,PK12ed,2009,12226887
Michigan,PK12ed,2009,16209560
Minnesota,PK12ed,2009,8849983
Mississippi,PK12ed,2009,3803738
Missouri,PK12ed,2009,8321092
Montana,PK12ed,2009,1374246
Nebraska,PK12ed,2009,2798387
Nevada,PK12ed,2009,3519124
New Hampshire,PK12ed,2009,2364568
New Jersey,PK12ed,2009,21418894
New Mexico,PK12ed,2009,3054265
New York,PK12ed,2009,47907688
North Carolina,PK12ed,2009,12346553
North Dakota,PK12ed,2009,927943
Ohio,PK12ed,2009,18060858
Oklahoma,PK12ed,2009,4971645
Oregon,PK12ed,2009,5449964
Pennsylvania,PK12ed,2009,21210352
Rhode Island,PK12ed,2009,2083636
South Carolina,PK12ed,2009,6612941
South Dakota,PK12ed,2009,1008093
Tennessee,PK12ed,2009,7575870
Texas,PK12ed,2009,37630120
Utah,PK12ed,2009,3402638
Vermont,PK12ed,2009,1335989
Virginia,PK12ed,2009,13269084
Washington,PK12ed,2009,9618279
West Virginia,PK12ed,2009,2706379
Wisconsin,PK12ed,2009,9471836
Wyoming,PK12ed,2009,1253743
Alabama,PK12ed,2010,6573857
Alaska,PK12ed,2010,2157418
Arizona,PK12ed,2010,7388074
Arkansas,PK12ed,2010,4480204
California,PK12ed,2010,57105136
Colorado,PK12ed,2010,6969515
Connecticut,PK12ed,2010,7915525
Delaware,PK12ed,2010,1463603
District of Columbia,PK12ed,2010,1896647
Florida,PK12ed,2010,22340868
Georgia,PK12ed,2010,15191886
Hawaii,PK12ed,2010,1858469
Idaho,PK12ed,2010,1858673
Illinois,PK12ed,2010,21995540
Indiana,PK12ed,2010,8845805
Iowa,PK12ed,2010,4647369
Kansas,PK12ed,2010,4254598
Kentucky,PK12ed,2010,5703554
Louisiana,PK12ed,2010,7196995
Maine,PK12ed,2010,2206675
Maryland,PK12ed,2010,10649696
Massachusetts,PK12ed,2010,12049013
Michigan,PK12ed,2010,16182975
Minnesota,PK12ed,2010,8491869
Mississippi,PK12ed,2010,3826339
Missouri,PK12ed,2010,8422001
Montana,PK12ed,2010,1440902
Nebraska,PK12ed,2010,3030641
Nevada,PK12ed,2010,3571969
New Hampshire,PK12ed,2010,2443356
New Jersey,PK12ed,2010,22386176
New Mexico,PK12ed,2010,3062881
New York,PK12ed,2010,49236240
North Carolina,PK12ed,2010,12108694
North Dakota,PK12ed,2010,1001145
Ohio,PK12ed,2010,18430878
Oklahoma,PK12ed,2010,5118967
Oregon,PK12ed,2010,5341135
Pennsylvania,PK12ed,2010,21980914
Rhode Island,PK12ed,2010,2095919
South Carolina,PK12ed,2010,6473043
South Dakota,PK12ed,2010,1045714
Tennessee,PK12ed,2010,7787670
Texas,PK12ed,2010,39557944
Utah,PK12ed,2010,3146199
Vermont,PK12ed,2010,1379279
Virginia,PK12ed,2010,13348895
Washington,PK12ed,2010,9499568
West Virginia,PK12ed,2010,2987162
Wisconsin,PK12ed,2010,9700207
Wyoming,PK12ed,2010,1322136
Alabama,PK12ed,2011,6592386
Alaska,PK12ed,2011,2196942
Arizona,PK12ed,2011,7096432
Arkansas,PK12ed,2011,4609186
