school,public_private,overall_score,peer_assessment_score,graduation_and_retention_rank,average_first_year_retention_rate,predicted_graduation_rate,actual_graduation_rate,over_underperformance,pell_gradrate,social_mobility_rank,faculty_resources_rank,percent_of_classes_under_20,percent_of_classes_of_50_or_more_students,student_faculty_ratio,selectivity_rank,sat_act_25th_percentile,sat_act_75th_percentile,first_year_students_in_top_10_percent_of_high_school_class,acceptance_rate,financial_resources_rank,average_alumni_giving_rate
Azusa Pacific University (CA),private,33,2.1,154,85,62,63,1,65,75,295,57,2,11,288,1020,1240,NA,69,219,5
CUNY--City College,public,33,2.9,283,87,51,43,-8,44,17,300,33,3,16,349,950,1190,NA,38,132,12
East Carolina University (NC),public,33,2.4,195,82,58,63,5,61,39,320,31,18,18,295,1030,1180,13,82,283,2
Grand Valley State University (MI),public,33,2.2,167,84,61,65,4,58,115,300,25,5,16,215,1050,1240,20,83,339,4
Indiana University-Purdue University--Indianapolis,public,33,2.9,307,74,52,48,-4,41,125,227,39,10,15,310,1000,1200,15,81,76,7
The Sage Colleges (NY),private,33,2.1,219,78,49,62,13,59,24,280,53,0,12,373,940,1140,11,93,254,8
St. Catherine University (MN),private,33,2.1,195,82,63,60,-3,58,27,290,58,2,11,234,20,26,24,70,244,12
University of Indianapolis,private,33,2.3,247,75,54,60,6,50,176,227,56,1,13,307,990,1180,18,81,265,12
Univ. of Massachusetts--Boston,public,33,2.6,300,78,52,48,-4,47,27,169,38,6,16,279,1020,1220,15,78,148,4
U. of North Carolina--Charlotte,public,33,2.8,230,83,58,59,1,55,84,346,26,24,19,184,21,26,17,67,339,3
University of Wyoming,public,33,2.7,247,77,65,57,-8,45,365,160,38,11,15,265,22,28,21,96,93,5
West Virginia University,public,33,2.8,230,78,59,58,-1,47,315,346,35,20,18,204,21,27,23,82,200,10
Central Michigan University,public,32,2.4,226,77,58,62,4,53,176,246,32,7,20,288,1000,1200,17,69,322,6
Harding University (AR),private,32,2,167,84,69,67,-2,54,322,227,55,6,14,159,22,29,23,68,283,10
Long Island University (NY),private,32,2.2,215,80,NA,NA,-1,NA,328,58,66,1,11,215,1050,1250,15,76,303,2
Oklahoma City University,private,32,2.1,203,82,70,63,-7,60,186,169,71,1,10,204,23,29,31,76,200,4
University of Findlay (OH),private,32,1.9,209,80,69,62,-7,61,16,210,60,1,16,184,21,26,25,73,265,10
University of Nevada--Reno,public,32,2.5,230,81,59,58,-1,49,241,335,37,21,19,198,21,26,27,88,148,7
Bowling Green State University (OH),public,31,2.6,261,77,56,55,-1,43,234,210,44,10,18,245,20,25,15,72,339,6
George Fox University (OR),private,31,2,161,81,64,67,3,54,80,309,53,2,14,310,1020,1230,32,82,265,5
Lesley University (MA),private,31,2.1,242,80,60,56,-4,60,90,120,67,0,10,310,938,1293,13,76,164,NA
Montana State University,public,31,2.6,268,77,64,55,-9,46,254,280,44,14,19,177,21,28,21,82,200,8
Nova Southeastern University (FL),private,31,2,283,78,54,50,-4,43,165,69,75,2,17,170,1080,1290,32,79,123,2
University of New England (ME),private,31,2.2,209,78,68,64,-4,56,234,194,56,6,13,259,1050,1240,NA,80,244,7
Wayne State University (MI),public,31,2.6,321,80,55,47,-8,37,125,110,50,8,16,279,1010,1210,18,71,117,5
Western Michigan University,public,31,2.5,268,79,55,51,-4,45,78,182,38,10,16,301,990,1190,10,81,254,4
Baker University (KS),private,30,1.8,230,77,59,59,NA,60,138,110,71,0.4,12,245,20,25,19,88,276,8
College of St. Scholastica (MN),private,30,1.9,161,81,63,69,6,59,303,309,50,2,13,215,20,26,17,66,303,4
D'Youville College (NY),private,30,1.7,278,79,57,60,3,54,96,64,70,1,9,265,1030,1200,17,100,254,12
Florida A&M University,public,30,2.3,294,83,43,51,8,49,45,339,33,14,16,310,1040,1170,11,39,231,5
Lincoln Memorial University (TN),private,30,1.9,278,71,53,60,7,51,49,147,55,4,14,334,19,25,26,43,254,5
Southern Illinois University--Carbondale,public,30,2.4,347,68,51,41,-10,29,270,95,60,6,13,163,1020,1300,15,72,55,4
University of Colorado--Denver,public,30,2.8,321,70,60,48,-12,43,90,339,36,9,18,259,1020,1210,22,64,40,3
University of Montana,public,30,2.7,300,70,58,50,-8,43,165,227,51,9,16,234,20,26,16,88,211,9
Utah State University,public,30,2.6,307,72,61,49,-12,63,56,210,48,13,20,177,21,28,21,89,183,5
Daemen College (NY),private,29,1.7,261,78,53,57,4,50,56,120,64,0.3,11,245,1040,1230,21,54,317,3
New Mexico State University,public,29,2.6,313,74,49,47,-2,41,119,210,47,10,17,330,17,23,22,66,164,6
Old Dominion University (VA),public,29,2.6,261,80,51,52,1,48,147,280,36,10,17,310,990,1200,9,87,317,4
Shenandoah University (VA),private,29,1.9,219,81,59,58,-1,46,335,120,66,2,10,288,980,1190,25,70,183,5
University of Alabama--Huntsville,public,29,2.5,273,82,63,52,-11,42,315,339,26,21,18,73,25,31,34,81,174,3
University of Alaska--Fairbanks,public,29,2.5,339,76,55,40,-15,33,285,69,70,3,8,265,17,25,21,77,33,NA
Univ. of Missouri--Kansas City,public,29,2.5,294,75,63,48,-15,40,108,210,51,11,15,143,21,28,33,56,219,5
University of North Dakota,public,29,2.6,247,81,66,55,-11,42,370,309,38,11,18,190,21,27,18,82,123,7
University of South Dakota,public,29,2.6,256,76,60,58,-2,47,315,328,43,8,16,234,20,25,13,86,231,4
Campbell University (NC),private,28,2.1,283,73,56,51,-5,42,186,120,61,4,16,265,19,25,26,76,211,6
Keiser University (FL),private,28,1.6,195,84,36,56,20,52,34,381,48,29,12,323,NA,NA,NA,100,200,1
Louisiana Tech University,public,28,2.5,256,80,62,53,-9,40,335,194,54,8,23,152,22,28,25,63,378,8
Mary Baldwin University (VA),private,28,2,339,67,44,47,3,45,21,110,64,1,10,351,950,1130,11,100,219,10
South Dakota State University,public,28,2.5,247,77,62,57,-5,47,241,357,32,18,17,215,20,26,16,92,219,7
Tennessee Technological Univ.,public,28,2.2,273,77,58,55,-3,47,186,194,47,10,18,173,21,27,27,76,322,6
University of Memphis,public,28,2.5,321,74,52,48,-4,40,138,210,46,9,15,234,19,26,14,84,254,6
U. of North Carolina--Greensboro,public,28,2.6,268,76,56,51,-5,48,27,357,23,24,17,301,990,1160,14,84,322,6
University of the Incarnate Word (TX),private,28,2,273,76,46,49,3,45,27,256,65,2,11,347,950,1140,16,88,254,4
Concordia University Wisconsin,private,27,2,242,77,57,58,1,49,254,194,58,2,12,259,20,26,26,65,350,3
Dallas Baptist University,private,27,2,247,74,61,54,-7,41,303,136,68,2,13,245,20,24,18,88,244,1
Florida Atlantic University,public,27,2.4,278,79,51,52,1,52,45,351,31,16,21,245,1080,1240,12,59,322,2
Gardner-Webb University (NC),private,27,2,294,73,56,53,-3,43,204,77,75,0,13,279,970,1180,17,48,265,3
North Carolina A&T State Univ.,public,27,2.2,307,77,44,53,9,48,66,309,25,7,18,349,950,1110,12,61,303,9
North Dakota State University,public,27,2.5,242,79,67,58,-9,50,354,335,33,24,17,279,21,26,16,93,174,5
Regent University (VA),private,27,1.8,283,78,49,58,9,50,49,169,61,2,19,364,950,1170,11,84,303,2
Sam Houston State University (TX),public,27,2.2,278,78,47,53,6,48,84,320,27,13,24,323,1000,1140,19,79,365,7
Univ. of Missouri--St. Louis,public,27,2.4,283,76,63,52,-11,45,96,280,50,9,19,184,21,27,26,73,294,4
University of North Florida,public,27,2.4,230,81,61,59,-2,55,115,362,26,12,19,184,1120,1280,16,61,339,4
University of North Texas,public,27,2.6,261,79,55,55,NA,50,96,362,25,22,24,215,1060,1260,19,71,376,4
William Carey University (MS),private,27,1.8,256,83,51,51,NA,51,49,120,77,0,15,245,21,29,27,68,375,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
School,School Footnote,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andrews University (MI),NA,NA,1.8,NA,NA,57,NA,NA,270,NA,NA,NA,18,NA,NA,3,NA,NA,NA,NA,NA
Arkansas State University,NA,NA,2.2,NA,NA,47,NA,NA,119,NA,NA,2,20,NA,NA,9,NA,NA,NA,NA,NA
Augusta University (GA),7,NA,2,NA,NA,31,NA,NA,165,NA,NA,4,NA,NA,4,3,NA,NA,NA,NA,NA
Aurora University (IL),1,NA,1.8,NA,8,56,6,NA,176,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA
Barry University (FL),NA,NA,2,NA,NA,36,NA,NA,84,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
Benedictine University (IL),NA,NA,2.1,NA,NA,47,NA,NA,66,NA,NA,NA,14,NA,NA,5,NA,NA,NA,NA,NA
